"school" "mathscore" "stu_ses"
"1" 1 52.11 -0.0599483039078208
"2" 1 57.65 1.05165224357876
"3" 1 66.44 -0.863514964741495
"4" 1 44.68 -0.79655107633869
"5" 1 40.57 -1.61351051485292
"6" 1 35.04 -1.15815607371384
"7" 1 50.71 0.636476135481364
"8" 1 66.17 0.0605866952172304
"9" 1 39.43 -1.06440662994991
"10" 1 46.17 -1.35904773892226
"11" 1 58.76 0.0338011398561079
"12" 1 47.97 0.234692805064526
"13" 1 39.18 -0.79655107633869
"14" 1 64.63 0.0605866952172304
"15" 1 69.38 1.60075612848177
"16" 1 32.38 0.569512247078557
"17" 1 29.98 0.355227804189578
"18" 1 59.32 -1.53315384876956
"19" 1 43.04 -0.48851718968578
"20" 1 57.83 1.85521890441244
"21" 1 46.07 -0.568873855769148
"22" 1 47.74 -0.649230521852515
"23" 1 48.66 -0.649230521852515
"24" 1 40.8 -1.35904773892226
"25" 1 66.32 -0.582266633449709
"26" 1 53.7 0.114157805939475
"27" 1 52.42 -1.06440662994991
"28" 1 71.38 0.623083357800802
"29" 1 59.66 0.91772446677315
"30" 1 47.52 0.0605866952172304
"31" 1 39.51 -1.27869107283889
"32" 2 57.57 1.58736335080121
"33" 2 42.4 -1.21172718443609
"34" 2 41.41 0.448977247953506
"35" 2 55.22 0.355227804189578
"36" 2 43.9 0.971295577495395
"37" 2 53.04 1.34629335255111
"38" 2 49 1.06504502125932
"39" 2 62.45 0.529333914036874
"40" 2 53.78 -0.274232746796801
"41" 2 49.08 -0.354589412880168
"42" 2 40.25 -1.01083551922767
"43" 2 43.08 -0.957264408505424
"44" 2 52.43 0.462370025634068
"45" 2 21.73 -1.09119218531104
"46" 2 53.68 -0.756372743297005
"47" 2 41.45 -0.193876080713433
"48" 2 45.47 0.676654468523047
"49" 2 34.06 -0.957264408505424
"50" 2 33.45 -0.542088300408025
"51" 2 60.78 1.39986446327335
"52" 2 35.92 -0.635837744171954
"53" 2 52.4 0.81058224532866
"54" 3 40.69 -1.02422829690823
"55" 3 43.22 -2.02868662295032
"56" 3 45.57 0.0338011398561079
"57" 3 46.73 0.770403912286976
"58" 3 49.2 -1.11797774067216
"59" 3 50.27 -0.91708607546374
"60" 3 42.79 -0.635837744171954
"61" 3 61.03 1.01147391053708
"62" 3 53.03 -0.48851718968578
"63" 3 37.98 -0.287625524477362
"64" 3 50.42 1.868611682093
"65" 3 54.19 0.27487113810621
"66" 3 55.95 -1.62690329253349
"67" 3 40.53 -0.475124412005219
"68" 3 55.59 -0.80994385401925
"69" 3 69.12 -1.03762107458879
"70" 3 54.18 1.88200445977356
"71" 3 41.88 -1.30547662820002
"72" 3 47.14 -0.836729409380373
"73" 3 42.86 0.582905024759119
"74" 3 49.12 -0.260839969116239
"75" 3 52.04 -1.07779940763047
"76" 3 38.34 0.435584470272945
"77" 4 55 0.502548358675751
"78" 4 54.23 -0.220661636074556
"79" 4 53.4 0.0605866952172304
"80" 4 34.34 1.44004279631504
"81" 4 48.07 -0.354589412880168
"82" 4 53.65 -0.180483303032872
"83" 4 46.6 0.181121694342282
"84" 4 60.93 1.49361390703728
"85" 4 56.3 0.248085582745088
"86" 4 31.21 -0.930478853144301
"87" 4 31.56 -1.13137051835272
"88" 4 31.53 -0.716194410255321
"89" 4 59.25 0.408798914911823
"90" 4 31.31 0.288263915786771
"91" 4 51.54 -0.79655107633869
"92" 4 57.84 -0.662623299533076
"93" 4 42.3 -0.501909967366342
"94" 4 56.57 0.770403912286976
"95" 4 43.38 1.01147391053708
"96" 5 33.3 -0.0867338592689433
"97" 5 33.24 0.248085582745088
"98" 5 39.66 -0.876907742422056
"99" 5 49.48 -0.394767745921852
"100" 5 24.88 -0.167090525352311
"101" 5 32.72 -1.26529829515833
"102" 5 51.1 -0.501909967366342
"103" 5 48.38 0.355227804189578
"104" 5 41.14 -0.876907742422056
"105" 5 27.89 -0.79655107633869
"106" 5 35.12 -0.742979965616444
"107" 5 28.26 0.623083357800802
"108" 5 47.54 0.00701558449498541
"109" 5 24.28 0.91772446677315
"110" 5 46.25 -0.716194410255321
"111" 5 37.99 1.07843779893988
"112" 5 39.1 -0.70280163257476
"113" 5 27.82 -1.19833440675553
"114" 5 31.98 -0.421553301282974
"115" 5 29.64 1.09183057662045
"116" 5 38.47 -0.421553301282974
"117" 6 39.92 -0.716194410255321
"118" 6 38.33 0.16772891666172
"119" 6 37.38 0.114157805939475
"120" 6 34.24 -0.113519414630066
"121" 6 39.49 0.783796689967537
"122" 6 40.33 0.984688355175956
"123" 6 36.46 0.234692805064526
"124" 6 38.03 -0.716194410255321
"125" 6 47.06 -0.863514964741495
"126" 6 40.75 -0.0197699708661371
"127" 6 38.4 -1.1045849629916
"128" 6 52.93 -0.140304969991188
"129" 6 26.14 -0.676016077213638
"130" 6 32.95 0.408798914911823
"131" 6 36.48 -1.42601162732507
"132" 6 44.63 0.408798914911823
"133" 7 42.71 0.676654468523047
"134" 7 40.72 -0.943871630824863
"135" 7 36.7 0.850760578370343
"136" 7 48.91 0.408798914911823
"137" 7 36.11 -1.54654662645012
"138" 7 36.46 0.0739794728977916
"139" 7 32.08 -0.783158298658128
"140" 7 47.58 0.435584470272945
"141" 7 34.62 -0.769765520977566
"142" 7 39.79 -0.247447191435678
"143" 7 48.43 0.100765028258914
"144" 7 37 0.408798914911823
"145" 7 33.62 -0.823336631699811
"146" 7 49.87 -1.07779940763047
"147" 7 35.84 -0.943871630824863
"148" 7 46.25 1.78825501600963
"149" 8 38.48 -0.260839969116239
"150" 8 43.39 0.0204083621755467
"151" 8 61.3 1.78825501600963
"152" 8 58.4 -0.341196635199607
"153" 8 41.75 0.998081132856517
"154" 8 41.86 -0.0465555262272595
"155" 8 55.91 0.315049471147894
"156" 8 42.07 -0.0331627485466983
"157" 8 36.3 -0.984049963866546
"158" 8 42.6 0.569512247078557
"159" 8 42.65 -0.0599483039078208
"160" 8 44.02 0.248085582745088
"161" 8 47.64 -0.327803857519046
"162" 8 66.83 -0.167090525352311
"163" 8 47.41 0.0605866952172304
"164" 8 61.74 0.716832801564731
"165" 8 54.13 1.81504057137075
"166" 8 43.8 -0.649230521852515
"167" 8 41.02 0.3820133595507
"168" 8 80 1.17218724270381
"169" 8 47.67 -0.287625524477362
"170" 8 35.73 0.636476135481364
"171" 9 53.08 0.743618356925854
"172" 9 56.46 1.52039946239841
"173" 9 44.66 0.783796689967537
"174" 9 51.6 1.2793294641483
"175" 9 46.42 0.422191692592384
"176" 9 41.11 -0.689408854894199
"177" 9 39.67 0.676654468523047
"178" 9 48.66 1.15879446502325
"179" 9 48.99 -0.501909967366342
"180" 9 52.12 0.663261690842486
"181" 9 43.04 0.957902799814833
"182" 9 42.9 -0.970657186185985
"183" 9 64.95 -0.073341081588382
"184" 9 36.89 0.0605866952172304
"185" 9 53.68 1.61414890616233
"186" 9 55.06 -0.930478853144301
"187" 9 46.62 -0.394767745921852
"188" 9 43.12 0.16772891666172
"189" 9 44.06 -0.0867338592689433
"190" 9 57.07 2.02932501425973
"191" 9 39.24 1.46682835167616
"192" 9 64.21 0.716832801564731
"193" 9 48.96 0.716832801564731
"194" 9 57.18 0.59629780243968
"195" 10 43.19 0.797189467648099
"196" 10 39.72 0.16772891666172
"197" 10 47.76 0.408798914911823
"198" 10 33.5 1.01147391053708
"199" 10 30.87 -0.676016077213638
"200" 10 34.06 -0.301018302157923
"201" 10 43.95 0.823975023009221
"202" 10 37.08 0.288263915786771
"203" 10 49.7 0.181121694342282
"204" 10 49.83 -0.140304969991188
"205" 10 35.36 0.3820133595507
"206" 10 53.48 0.355227804189578
"207" 10 34.91 -1.38583329428338
"208" 10 43.36 1.07843779893988
"209" 10 49.23 -0.394767745921852
"210" 10 27.9 -0.756372743297005
"211" 10 56.5 -0.542088300408025
"212" 10 28.83 1.07843779893988
"213" 11 60.86 1.33290057487055
"214" 11 60.7 1.58736335080121
"215" 11 67.69 1.34629335255111
"216" 11 61.74 2.3507516785932
"217" 11 46.47 0.757011134606415
"218" 11 56.55 0.341835026509016
"219" 11 65.89 1.42665001863448
"220" 11 47.89 -0.327803857519046
"221" 11 63.34 1.78825501600963
"222" 11 44.12 1.25254390878718
"223" 11 62.18 0.837367800689782
"224" 12 45.18 -0.756372743297005
"225" 12 29.99 -1.86797329078359
"226" 12 63.71 0.328442248828455
"227" 12 59.97 0.422191692592384
"228" 12 65.09 -0.314411079838484
"229" 12 64.5 2.1096816803431
"230" 12 53.72 2.33735890091264
"231" 12 62.08 1.84182612673187
"232" 12 46.41 -1.65368884789461
"233" 12 62.56 1.94896834817637
"234" 12 27.04 0.448977247953506
"235" 12 61.06 -0.649230521852515
"236" 12 39.03 -0.957264408505424
"237" 12 41.68 -0.274232746796801
"238" 12 50.54 -0.70280163257476
"239" 12 41.53 -1.22511996211665
"240" 12 35.41 -0.0867338592689433
